nombre,descuento,precio,fechaLanzamiento,usuarioCompraron,plataformas,resenia,bloqueoDeEdad,etiquetas,desarrollador,editor,genero,metacritic,herf,imagen,descipcion
Red Dead Redemption 2,0,59.99,5 Dec 2019,"",windows ,"Very Positive / 83% of 141,072",true,"","","","","",https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/1174180/capsule_sm_120.jpg?t=1606935465,""
Age of Empires II: Definitive Edition,0,19.99,14 Nov 2019,67113,windows ,"Very Positive / 93% of 61,796",false, Strategy / RTS / City Builder / Multiplayer / Historical / Base Building / Medieval / Singleplayer / Classic / Resource Management / Remake / Real-Time / Tactical / Co-op / Action / Replay Value / 2D / Isometric / Adventure / Great Soundtrack ,Forgotten Empires / Tantalus Media / Wicked Witch,"",Strategy,84,https://store.steampowered.com/app/813780/Age_of_Empires_II_Definitive_Edition/?snr=1_7_7_230_150_2,https://cdn.akamai.steamstatic.com/steam/apps/813780/capsule_sm_120.jpg?t=1611680450," Age of Empires II: Definitive Edition celebrates the 20th anniversary of one of the most popular strategy games ever with stunning 4K Ultra HD graphics, a new and fully remastered soundtrack, and brand-new content, “The Last Khans” with 3 new campaigns and 4 new civilizations. "
Dead by Daylight,0,19.99,14 Jun 2016,"",windows ,"Very Positive / 83% of 306,874",true,"","","","","",https://store.steampowered.com/app/381210/Dead_by_Daylight/?snr=1_7_7_230_150_2,https://cdn.akamai.steamstatic.com/steam/apps/381210/capsule_sm_120.jpg?t=1611596474,""
Hades,0,24.99,17 Sep 2020,120459,windows / mac,"Overwhelmingly Positive / 98% of 111,261",false, Action Roguelike / Action / Indie / RPG / Roguelite / Hack and Slash / Roguelike / Great Soundtrack / Singleplayer / Dungeon Crawler / Mythology / Story Rich / Replay Value / Isometric / Difficult / Action RPG / Hand-drawn / Atmospheric / Dating Sim / Perma Death ,Supergiant Games,Supergiant Games,Action / Indie / RPG,93,https://store.steampowered.com/app/1145360/Hades/?snr=1_7_7_230_150_2,https://cdn.akamai.steamstatic.com/steam/apps/1145360/capsule_sm_120.jpg?t=1611818635," Defy the god of the dead as you hack and slash out of the Underworld in this rogue-like dungeon crawler from the creators of Bastion, Transistor, and Pyre. "
The Forest,0,19.99,30 Apr 2018,"",windows ,"Very Positive / 94% of 203,672",true,"","","","","",https://store.steampowered.com/app/242760/The_Forest/?snr=1_7_7_230_150_2,https://cdn.akamai.steamstatic.com/steam/apps/242760/capsule_sm_120.jpg?t=1590522045,""
The Sims™ 4,0,39.99,18 Jun 2020,14613,windows ,"Very Positive / 89% of 12,412",false, Life Sim / Simulation / Character Customization / Building / Casual / Romance / Funny / Relaxing / Cute / Immersive Sim / Singleplayer / Family Friendly / Cartoony / Fantasy / Atmospheric / Beautiful / Sexual Content / Realistic / Multiplayer / LGBTQ+ ,Maxis,Electronic Arts,Casual / Simulation,"",https://store.steampowered.com/app/1222670/The_Sims_4/?snr=1_7_7_230_150_2,https://cdn.akamai.steamstatic.com/steam/apps/1222670/capsule_sm_120.jpg?t=1611684155, Play with life and discover the possibilities. Unleash your imagination and create a world of Sims that’s wholly unique. Explore and customize every detail from Sims to homes–and much more. 
Assassin's Creed® Odyssey,70%,59.99,5 Oct 2018,93509,windows ,"Very Positive / 89% of 81,318",false, Open World / RPG / Assassin / Singleplayer / Action / Adventure / Historical / Stealth / Story Rich / Female Protagonist / Parkour / Third Person / Sexual Content / Choices Matter / Violent / Multiplayer / Atmospheric / Great Soundtrack / Nudity / Gore ,Ubisoft Quebec / Ubisoft Montreal / Ubisoft Bucharest / Ubisoft Singapore / Ubisoft Montpellier / Ubisoft Kiev / Ubisoft Shanghai,Ubisoft,Action / Adventure / RPG,"",https://store.steampowered.com/app/812140/Assassins_Creed_Odyssey/?snr=1_7_7_230_150_2,https://cdn.akamai.steamstatic.com/steam/apps/812140/capsule_sm_120.jpg?t=1602601042," Choose your fate in Assassin's Creed® Odyssey. From outcast to living legend, embark on an odyssey to uncover the secrets of your past and change the fate of Ancient Greece. "
Stardew Valley,0,14.99,26 Feb 2016,319289,windows / mac/ linux,"Overwhelmingly Positive / 97% of 267,252",false, Farming Sim / Life Sim / RPG / Pixel Graphics / Agriculture / Simulation / Relaxing / Multiplayer / Crafting / Sandbox / Indie / Building / Singleplayer / Casual / Open World / Great Soundtrack / 2D / Cute / Dating Sim / Fishing ,ConcernedApe,ConcernedApe,Indie / RPG / Simulation,89,https://store.steampowered.com/app/413150/Stardew_Valley/?snr=1_7_7_230_150_2,https://cdn.akamai.steamstatic.com/steam/apps/413150/capsule_sm_120.jpg?t=1608624324," You've inherited your grandfather's old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life. Can you learn to live off the land and turn these overgrown fields into a thriving home? "
ARK: Survival Evolved,0,49.99,27 Aug 2017,401911,windows / mac/ linux,"Mostly Positive / 79% of 317,594",false, Open World Survival Craft / Survival / Open World / Multiplayer / Dinosaurs / Crafting / Building / Adventure / Base Building / Co-op / Action / First-Person / Sandbox / Massively Multiplayer / Singleplayer / Early Access / RPG / Dragons / Sci-fi / Indie ,Studio Wildcard / Instinct Games / Efecto Studios / Virtual Basement LLC,Studio Wildcard,Action / Adventure / Indie / Massively Multiplayer / RPG,70,https://store.steampowered.com/app/346110/ARK_Survival_Evolved/?snr=1_7_7_230_150_2,https://cdn.akamai.steamstatic.com/steam/apps/346110/capsule_sm_120.jpg?t=1608086122," Stranded on the shores of a mysterious island, you must learn to survive. Use your cunning to kill or tame the primeval creatures roaming the land, and encounter other players to survive, dominate... and escape! "
Monster Hunter: World,0,29.99,9 Aug 2018,299819,windows ,"Very Positive / 85% of 178,406",false, Co-op / Multiplayer / Action / Open World / RPG / Third Person / Character Customization / Adventure / Fantasy / Singleplayer / Difficult / Action RPG / Exploration / Great Soundtrack / Replay Value / Atmospheric / Hack and Slash / JRPG / Souls-like / MMORPG ,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Action,88,https://store.steampowered.com/app/582010/Monster_Hunter_World/?snr=1_7_7_230_150_2,https://cdn.akamai.steamstatic.com/steam/apps/582010/capsule_sm_120.jpg?t=1602806745," Welcome to a new world! In Monster Hunter: World, the latest installment in the series, you can enjoy the ultimate hunting experience, using everything at your disposal to hunt monsters in a new world teeming with surprises and excitement. "
