nombre,descuento,precio,fechaLanzamiento,usuarioCompraron,plataformas,resenia,bloqueoDeEdad,etiquetas,desarrollador,editor,genero,metacritic,herf,imagen,descipcion
Tabletop Simulator,0,19.99,5 Jun 2015,38153,windows / mac/ linux,"Overwhelmingly Positive / 95% of 23,991",false, Tabletop / Board Game / Simulation / Multiplayer / Sandbox / Card Game / Physics / VR / Casual / Strategy / Moddable / Online Co-Op / RPG / Indie / Co-op / Singleplayer / Chess / Relaxing / Gambling / Strategy RPG ,Berserk Games,Berserk Games,Casual / Indie / RPG / Simulation / Strategy,"",https://store.steampowered.com/app/286160/Tabletop_Simulator/?snr=1_7_7_230_150_3,https://cdn.akamai.steamstatic.com/steam/apps/286160/capsule_sm_120.jpg?t=1612034764," Tabletop Simulator is the only simulator where you can let your aggression out by flipping the table! There are no rules to follow: just you, a physics sandbox, and your friends. Make your own online board games or play the thousands of community created mods. Unlimited gaming possibilities! "
The Medium,10%,49.99,Jan 2021,877,windows ,Very Positive / 81% of 717,false, Adventure / Horror / Atmospheric / Female Protagonist / Psychological Horror / Sexual Content / Third Person / Gore / Violent / Story Rich / Dark / Singleplayer / Psychological / Great Soundtrack / Mature / Action / Indie / Walking Simulator / Soundtrack / Classic ,Bloober Team,Bloober Team SA,Adventure,"",https://store.steampowered.com/app/1293160/The_Medium/?snr=1_7_7_230_150_3,https://cdn.akamai.steamstatic.com/steam/apps/1293160/capsule_sm_120.jpg?t=1611865084," Discover a dark mystery only a medium can solve. Travel to an abandoned communist resort and use your unique psychic abilities to uncover its deeply disturbing secrets, solve dual-reality puzzles, survive encounters with sinister spirits, and explore two realities at the same time. "
Half-Life: Alyx,0,59.99,23 Mar 2020,51623,windows ,"Overwhelmingly Positive / 98% of 43,069",false, VR / FPS / Story Rich / Shooter / Horror / Female Protagonist / First-Person / Action / Zombies / Atmospheric / Singleplayer / Sci-fi / Beautiful / Adventure / Aliens / Psychological Horror / Futuristic / Memes / Great Soundtrack / Gore ,Valve,Valve,Action / Adventure,93,https://store.steampowered.com/app/546560/HalfLife_Alyx/?snr=1_7_7_230_150_3,https://cdn.akamai.steamstatic.com/steam/apps/546560/capsule_sm_120.jpg?t=1605207546," Half-Life: Alyx is Valve’s VR return to the Half-Life series. It’s the story of an impossible fight against a vicious alien race known as the Combine, set between the events of Half-Life and Half-Life 2. Playing as Alyx Vance, you are humanity’s only chance for survival. "
Bloons TD 6,0,9.99,17 Dec 2018,61473,windows / mac,"Overwhelmingly Positive / 96% of 54,441",false, Strategy / Tower Defense / Singleplayer / Multiplayer / Co-op / Online Co-Op / Family Friendly / Casual / 3D / Sandbox / Cartoony / Funny / Difficult / Great Soundtrack / Survival / Action / Cute / 2D / Indie / Adventure ,Ninja Kiwi,Ninja Kiwi,Strategy,"",https://store.steampowered.com/app/960090/Bloons_TD_6/?snr=1_7_7_230_150_3,https://cdn.akamai.steamstatic.com/steam/apps/960090/capsule_sm_120.jpg?t=1593469824, The Bloons are back and better than ever! Get ready for a massive 3D tower defense game designed to give you hours and hours of the best strategy gaming available. 
Crusader Kings III,0,49.99,1 Sep 2020,"",windows / mac/ linux,"Very Positive / 93% of 31,290",true,"","","","","",https://store.steampowered.com/app/1158310/Crusader_Kings_III/?snr=1_7_7_230_150_3,https://cdn.akamai.steamstatic.com/steam/apps/1158310/capsule_sm_120.jpg?t=1606327466,""
Beat Saber,0,29.99,21 May 2019,46476,windows ,"Overwhelmingly Positive / 96% of 42,528",false, VR / Rhythm / Music / Great Soundtrack / Indie / Fast-Paced / Singleplayer / Moddable / First-Person / Difficult / Swordplay / Multiplayer / Action / Sports / Memes / Futuristic / Early Access / Music-Based Procedural Generation / Casual / Anime ,Beat Games,Beat Games,Indie,93,https://store.steampowered.com/app/620980/Beat_Saber/?snr=1_7_7_230_150_3,https://cdn.akamai.steamstatic.com/steam/apps/620980/capsule_sm_120_alt_assets_1.jpg?t=1605633883," Beat Saber is a VR rhythm game where you slash the beats of adrenaline-pumping music as they fly towards you, surrounded by a futuristic world. "
Yu-Gi-Oh! Duel Links,0,0,16 Nov 2017,27261,windows ,"Very Positive / 83% of 27,261",false, Free to Play / Card Game / Strategy / Anime / Multiplayer / Trading Card Game / Singleplayer / Turn-Based / Competitive / Casual / RPG / Great Soundtrack / Online Co-Op / Action / Memes / Adventure / Simulation / Massively Multiplayer / Survival / MMORPG ,Konami Digital Entertainment,Konami Digital Entertainment,Free to Play / Strategy,"",https://store.steampowered.com/app/601510/YuGiOh_Duel_Links/?snr=1_7_7_230_150_3,https://cdn.akamai.steamstatic.com/steam/apps/601510/capsule_sm_120.jpg?t=1602636558," Take on Duelists around the world with ""Yu-Gi-Oh! Duel Links""! Step into a world that crosses dimensions and connects all Duelists. In Duel World, any location transforms into a Duel Field where heated Duels unfold! "
Disco Elysium,40%,39.99,15 Oct 2019,27905,windows / mac,"Very Positive / 94% of 25,996",false, RPG / Choices Matter / Story Rich / Detective / Isometric / Atmospheric / Singleplayer / CRPG / Great Soundtrack / Noir / Character Customization / Open World / Surreal / Adventure / Indie / Exploration / Funny / Point & Click / Sexual Content / Fantasy ,ZA/UM,ZA/UM,RPG,91,https://store.steampowered.com/app/632470/Disco_Elysium/?snr=1_7_7_230_150_3,https://cdn.akamai.steamstatic.com/steam/apps/632470/capsule_sm_120.jpg?t=1611593550," Disco Elysium is a groundbreaking role playing game. You’re a detective with a unique skill system at your disposal and a whole city block to carve your path across. Interrogate unforgettable characters, crack murders or take bribes. Become a hero or an absolute disaster of a human being. "
FINAL FANTASY XIV Online,0,19.99,18 Feb 2014,"",windows ,"Very Positive / 87% of 27,291",true,"","","","","",https://store.steampowered.com/app/39210/FINAL_FANTASY_XIV_Online/?snr=1_7_7_230_150_3,https://cdn.akamai.steamstatic.com/steam/apps/39210/capsule_sm_120.jpg?t=1610040854,""
DayZ,0,44.99,13 Dec 2018,"",windows ,"Mixed / 67% of 213,455",true,"","","","","",https://store.steampowered.com/app/221100/DayZ/?snr=1_7_7_230_150_3,https://cdn.akamai.steamstatic.com/steam/apps/221100/capsule_sm_120.jpg?t=1608209844,""
Stellaris,0,39.99,9 May 2016,95148,windows / mac/ linux,"Very Positive / 86% of 68,549",false, Space / Grand Strategy / Sci-fi / Exploration / Strategy / 4X / Sandbox / Simulation / Moddable / Real-Time with Pause / Singleplayer / Diplomacy / Multiplayer / Management / Futuristic / Procedural Generation / Great Soundtrack / Military / Atmospheric / Replay Value ,Paradox Development Studio,Paradox Interactive,Simulation / Strategy,78,https://store.steampowered.com/app/281990/Stellaris/?snr=1_7_7_230_150_3,https://cdn.akamai.steamstatic.com/steam/apps/281990/capsule_sm_120.jpg?t=1605082223," Explore a galaxy full of wonders in this sci-fi grand strategy game from Paradox Development Studios. Interact with diverse alien races, discover strange new worlds with unexpected events and expand the reach of your empire. Each new adventure holds almost limitless possibilities. "
House Flipper,35%,19.99,17 May 2018,36591,windows / mac,"Very Positive / 91% of 33,352",false, Simulation / Building / Singleplayer / Design & Illustration / Realistic / Relaxing / First-Person / Indie / Casual / Destruction / Family Friendly / Sandbox / Economy / Management / Base Building / Multiplayer / Education / Strategy / Memes / Funny ,Empyrean,Frozen District / PlayWay S.A.,Indie / Simulation,68,https://store.steampowered.com/app/613100/House_Flipper/?snr=1_7_7_230_150_3,https://cdn.akamai.steamstatic.com/steam/apps/613100/capsule_sm_120.jpg?t=1610633400," House Flipper is a unique chance to become a one-man renovation crew. Buy, repair and remodel devastated houses. Give them a second life and sell them at a profit! "
Farming Simulator 19,0,19.99,19 Nov 2018,39039,windows / mac,"Very Positive / 92% of 33,021",false, Simulation / Farming Sim / Multiplayer / Agriculture / Realistic / Open World / Driving / Automobile Sim / Singleplayer / Management / Moddable / Co-op / Resource Management / Relaxing / First-Person / Online Co-Op / Economy / Atmospheric / Strategy / Family Friendly ,Giants Software,Focus Home Interactive,Simulation,73,https://store.steampowered.com/app/787860/Farming_Simulator_19/?snr=1_7_7_230_150_3,https://cdn.akamai.steamstatic.com/steam/apps/787860/capsule_sm_120.jpg?t=1611657131," The best-selling franchise takes a giant leap forward with a complete overhaul of the graphics engine, offering the most striking and immersive visuals and effects, along with the deepest and most complete farming experience ever. "
Terraria,0,9.99,16 May 2011,677765,windows / mac/ linux,"Overwhelmingly Positive / 97% of 531,765",false, Open World Survival Craft / Sandbox / Survival / 2D / Multiplayer / Adventure / Crafting / Building / Pixel Graphics / Exploration / Co-op / Open World / Indie / Online Co-Op / Action / RPG / Singleplayer / Platformer / Replay Value / Atmospheric ,Re-Logic,Re-Logic,Action / Adventure / Indie / RPG,83,https://store.steampowered.com/app/105600/Terraria/?snr=1_7_7_230_150_3,https://cdn.akamai.steamstatic.com/steam/apps/105600/capsule_sm_120.jpg?t=1590092560," Dig, fight, explore, build! Nothing is impossible in this action-packed adventure game. Four Pack also available! "
EVERSPACE™ 2,0,39.99,18 Jan 2021,1506,windows ,"Very Positive / 93% of 1,343",false, Early Access / Space / Looter Shooter / Flight / Space Sim / RPG / Open World / Third Person / Exploration / First-Person / Action / Shooter / Sci-fi / Action RPG / Fast-Paced / Loot / 6DOF / Singleplayer / Inventory Management / Crafting ,ROCKFISH Games,ROCKFISH Games,Action / Adventure / RPG / Simulation / Early Access,"",https://store.steampowered.com/app/1128920/EVERSPACE_2/?snr=1_7_7_230_150_3,https://cdn.akamai.steamstatic.com/steam/apps/1128920/capsule_sm_120.jpg?t=1611612184," EVERSPACE™ 2 is a fast-paced single-player spaceship shooter with deep exploration in space and on planets, tons of loot, RPG elements, mining, and crafting. Experience a thoughtful story, set in a vivid, handcrafted open world full of secrets, puzzles, and perils. "
Phantasy Star Online 2,0,0,5 Aug 2020,"",windows ,"Very Positive / 84% of 8,399",true,"","","","","",https://store.steampowered.com/app/1056640/Phantasy_Star_Online_2/?snr=1_7_7_230_150_3,https://cdn.akamai.steamstatic.com/steam/apps/1056640/capsule_sm_120.jpg?t=1607506008,""
Assassin's Creed® Origins,80%,59.99,26 Oct 2017,"",windows ,"Very Positive / 85% of 56,227",true,"","","","","",https://store.steampowered.com/app/582160/Assassins_Creed_Origins/?snr=1_7_7_230_150_3,https://cdn.akamai.steamstatic.com/steam/apps/582160/capsule_sm_120.jpg?t=1603213581,""
Prison Architect,75%,29.99,6 Oct 2015,52988,windows / mac/ linux,"Very Positive / 91% of 52,500",false, Simulation / Building / Strategy / Sandbox / Base Building / Colony Sim / Management / City Builder / 2D / Top-Down / Economy / Resource Management / Capitalism / Funny / Moddable / Singleplayer / Multiplayer / Replay Value / Indie / Casual ,Double Eleven / Introversion Software,Paradox Interactive,Indie / Simulation / Strategy,83,https://store.steampowered.com/app/233450/Prison_Architect/?snr=1_7_7_230_150_3,https://cdn.akamai.steamstatic.com/steam/apps/233450/capsule_sm_120_alt_assets_3.jpg?t=1611858285, Only the world’s most ruthless Warden can contain the world’s most ruthless inmates. Design and develop your personalized penitentiary in Prison Architect. 
F1® 2020,60%,59.99,9 Jul 2020,21308,windows ,"Very Positive / 94% of 12,906",false, Racing / Sports / Simulation / Multiplayer / Automobile Sim / Difficult / Split Screen / Realistic / Strategy / Management / Driving / Singleplayer / Arcade / VR / Local Multiplayer ,Codemasters,Codemasters,Racing / Simulation / Sports,"",https://store.steampowered.com/app/1080110/F1_2020/?snr=1_7_7_230_150_3,https://cdn.akamai.steamstatic.com/steam/apps/1080110/capsule_sm_120.jpg?t=1611763281," F1® 2020 allows you to create your F1® team for the very first time and race alongside the official teams and drivers. Alternatively, challenge your friends in new split-screen with casual race options for more relaxed racing. Compete on 22 circuits, with current and classic content. "
Age of Empires II: Definitive Edition - Lords of the West,0,9.99,26 Jan 2021,227,windows ,Mostly Positive / 71% of 220,false, Strategy ,Forgotten Empires / Tantalus Media / Wicked Witch,Xbox Game Studios,Strategy,"",https://store.steampowered.com/app/1389240/Age_of_Empires_II_Definitive_Edition__Lords_of_the_West/?snr=1_7_7_230_150_3,https://cdn.akamai.steamstatic.com/steam/apps/1389240/capsule_sm_120.jpg?t=1611683591,""
Squad,0,49.99,23 Sep 2020,73900,windows ,"Very Positive / 89% of 54,136",false, Military / FPS / Realistic / Multiplayer / Tactical / Shooter / War / Team-Based / Action / First-Person / Strategy / Simulation / Open World / Early Access / Co-op / Massively Multiplayer / Atmospheric / Walking Simulator / Indie / Singleplayer ,Offworld Industries,Offworld Industries,Action / Indie / Strategy,"",https://store.steampowered.com/app/393380/Squad/?snr=1_7_7_230_150_4,https://cdn.akamai.steamstatic.com/steam/apps/393380/capsule_sm_120.jpg?t=1605299997," Squad is a tactical FPS that provides authentic combat experiences through teamwork, constant communication, and gameplay. It bridges the large gap between arcade shooter and military simulation with 100 player battles, combined arms combat, base building, and a great integrated VoIP... "
Atelier Ryza 2: Lost Legends & the Secret Fairy,0,59.99,25 Jan 2021,526,windows ,Very Positive / 90% of 383,false, JRPG / RPG / Female Protagonist / Fantasy / Adventure / Singleplayer / Anime / Crafting / Sexual Content / Open World / Cute / Simulation / Mature / Action / Story Rich / Nudity / Casual / Memes ,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",RPG,"",https://store.steampowered.com/app/1257290/Atelier_Ryza_2_Lost_Legends__the_Secret_Fairy/?snr=1_7_7_230_150_4,https://cdn.akamai.steamstatic.com/steam/apps/1257290/capsule_sm_120.jpg?t=1611630610," This story takes place three years after the events of the previous game “Atelier Ryza: Ever Darkness & the Secret Hideout,” and depicts the reunion of Ryza and her friends, who go through new encounters and goodbyes to discover a true priceless treasure. "
theHunter: Call of the Wild™,0,19.99,16 Feb 2017,67859,windows ,"Very Positive / 86% of 56,295",false, Hunting / Open World / Multiplayer / First-Person / Simulation / Shooter / Adventure / Realistic / Co-op / Survival / FPS / Action / Singleplayer / Walking Simulator / Atmospheric / Sports / Online Co-Op / Combat / Strategy / Gore ,Expansive Worlds,Expansive Worlds,Adventure / Simulation / Sports,"",https://store.steampowered.com/app/518790/theHunter_Call_of_the_Wild/?snr=1_7_7_230_150_4,https://cdn.akamai.steamstatic.com/steam/apps/518790/capsule_sm_120.jpg?t=1607595944," Experience an atmospheric hunting game like no other in this realistic and visually breathtaking open world. Immerse yourself in the atmospheric single player campaign, or share the ultimate hunting experience with friends. "
Grounded,0,29.99,28 Jul 2020,16582,windows ,"Very Positive / 88% of 13,256",false, Survival / Adventure / Multiplayer / Crafting / Co-op / Action / Base Building / Open World Survival Craft / Horror / Early Access / Open World / Exploration / Online Co-Op / First-Person / Singleplayer / Sandbox / RPG / Third Person / Funny / Cute ,Obsidian Entertainment,"",Action / Adventure / Early Access,"",https://store.steampowered.com/app/962130/Grounded/?snr=1_7_7_230_150_4,https://cdn.akamai.steamstatic.com/steam/apps/962130/capsule_sm_120.jpg?t=1608148728," The world is a vast, beautiful and dangerous place – especially when you have been shrunk to the size of an ant. Can you thrive alongside the hordes of giant insects, fighting to survive the perils of the backyard? "
The Jackbox Party Pack 7,0,29.99,14 Oct 2020,1604,windows / mac/ linux,"Overwhelmingly Positive / 96% of 1,362",false, Party Game / Party / Word Game / Board Game / Funny / 2D / Team-Based / Colorful / Family Friendly / Comedy / Cartoon / Trivia / Co-op / Casual / Local Co-Op / Local Multiplayer / Indie / Multiplayer / Controller / Singleplayer ,"Jackbox Games, Inc.","Jackbox Games, Inc.",Casual / Indie,"",https://store.steampowered.com/app/1211630/The_Jackbox_Party_Pack_7/?snr=1_7_7_230_150_4,https://cdn.akamai.steamstatic.com/steam/apps/1211630/capsule_sm_120.jpg?t=1606862201," Five new games: the hit threequel Quiplash 3, the collaborative chaos of The Devils and the Details, the fierce drawing game Champ’d Up, the speech game Talking Points and the guessing game Blather 'Round. Use phones or tablets as controllers and play with up to 8 players, and an audience of 10,000! "
BeamNG.drive,0,24.99,29 May 2015,60924,windows ,"Overwhelmingly Positive / 95% of 53,389",false, Simulation / Driving / Destruction / Physics / Automobile Sim / Realistic / Racing / Open World / Sandbox / Moddable / Singleplayer / Early Access / Funny / First-Person / Multiplayer / Third Person / Action / Adventure / Casual / Beat 'em up ,BeamNG,BeamNG,Racing / Simulation / Early Access,"",https://store.steampowered.com/app/284160/BeamNGdrive/?snr=1_7_7_230_150_4,https://cdn.akamai.steamstatic.com/steam/apps/284160/capsule_sm_120.jpg?t=1596721340, A dynamic soft-body physics vehicle simulator capable of doing just about anything. 
Don't Starve Together,0,14.99,21 Apr 2016,240114,windows / mac/ linux,"Overwhelmingly Positive / 96% of 153,698",false, Survival / Open World Survival Craft / Multiplayer / Co-op / Open World / Adventure / Crafting / Online Co-Op / Sandbox / Difficult / Indie / 2D / Funny / Atmospheric / Survival Horror / Strategy / Singleplayer / Horror / Action / Simulation ,Klei Entertainment,Klei Entertainment,Adventure / Indie / Simulation,83,https://store.steampowered.com/app/322330/Dont_Starve_Together/?snr=1_7_7_230_150_4,https://cdn.akamai.steamstatic.com/steam/apps/322330/capsule_sm_120.jpg?t=1608060905, Don't Starve Together is the standalone multiplayer expansion of the uncompromising survival game Don't Starve. 
Borderlands 3,0,59.99,13 Mar 2020,67607,windows ,"Very Positive / 83% of 53,083",false, RPG / Action / Looter Shooter / FPS / Online Co-Op / Multiplayer / Shooter / Open World / Co-op / Loot / Co-op Campaign / Singleplayer / Gore / Violent / First-Person / Adventure / Nudity / Great Soundtrack / Epic / Comedy ,Gearbox Software,2K,Action / RPG,81,https://store.steampowered.com/app/397540/Borderlands_3/?snr=1_7_7_230_150_4,https://cdn.akamai.steamstatic.com/steam/apps/397540/capsule_sm_120.jpg?t=1611688304," The original shooter-looter returns, packing bazillions of guns and a mayhem-fueled adventure! Blast through new worlds & enemies and save your home from the most ruthless cult leaders in the galaxy. "
Monster Hunter World: Iceborne,0,39.99,9 Jan 2020,17127,windows ,"Mixed / 51% of 13,212",false, Action / Multiplayer / Open World / Co-op / Hunting / Difficult / Third Person / Online Co-Op / Adventure / Singleplayer / Character Customization / RPG / Hack and Slash / Exploration / JRPG / Dragons / Story Rich / Souls-like / PvE / MMORPG ,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Action,"",https://store.steampowered.com/app/1118010/Monster_Hunter_World_Iceborne/?snr=1_7_7_230_150_4,https://cdn.akamai.steamstatic.com/steam/apps/1118010/capsule_sm_120.jpg?t=1605143784,""
The Witcher® 3: Wild Hunt,0,39.99,18 May 2015,471625,windows ,"Overwhelmingly Positive / 98% of 431,464",false, Open World / RPG / Story Rich / Atmospheric / Mature / Fantasy / Adventure / Singleplayer / Choices Matter / Nudity / Great Soundtrack / Third Person / Action / Medieval / Multiple Endings / Action RPG / Dark Fantasy / Magic / Dark / Sandbox ,CD PROJEKT RED,CD PROJEKT RED,RPG,93,https://store.steampowered.com/app/292030/The_Witcher_3_Wild_Hunt/?snr=1_7_7_230_150_4,https://cdn.akamai.steamstatic.com/steam/apps/292030/capsule_sm_120.jpg?t=1607418742," As war rages on throughout the Northern Realms, you take on the greatest contract of your life — tracking down the Child of Prophecy, a living weapon that can alter the shape of the world. "
Journey To The Savage Planet,40%,29.99,28 Jan 2021,242,windows ,Very Positive / 89% of 229,false, Adventure / Action / Action-Adventure / Arcade / Exploration / 3D Platformer / Shoot 'Em Up / Colorful / First-Person / 1990's / Comedy / Dark Comedy / Dark Humor / Story Rich / Singleplayer / Multiplayer / 1980s / Violent / Sexual Content / Co-op ,Typhoon,505 Games,Action / Adventure,76,https://store.steampowered.com/app/973810/Journey_To_The_Savage_Planet/?snr=1_7_7_230_150_4,https://cdn.akamai.steamstatic.com/steam/apps/973810/capsule_sm_120.jpg?t=1611868322," ""WELCOME TO THE PIONEER PROGRAM! As the newest recruit of Kindred Aerospace - The 4th best interstellar space exploration company - Your job is to determine if the planet ARY-26 planet is fit for humans. You may be short on equipment and experience, but you'll figure it out. Good luck! "
American Truck Simulator,0,19.99,2 Feb 2016,71692,windows / mac/ linux,"Overwhelmingly Positive / 95% of 56,583",false, Automobile Sim / Simulation / Driving / Open World / America / Realistic / Multiplayer / Singleplayer / Relaxing / Moddable / First-Person / Exploration / Economy / Atmospheric / Adventure / Casual / Indie / Family Friendly / Management / Third Person ,SCS Software,SCS Software,Indie / Simulation,76,https://store.steampowered.com/app/270880/American_Truck_Simulator/?snr=1_7_7_230_150_4,https://cdn.akamai.steamstatic.com/steam/apps/270880/capsule_sm_120_alt_assets_4.jpg?t=1611668286," Experience legendary American trucks and deliver various cargoes across sunny California, sandy Nevada, and the Grand Canyon State of Arizona. American Truck Simulator takes you on a journey through the breathtaking landscapes and widely recognized landmarks around the States. "
The Binding of Isaac: Rebirth,0,14.99,4 Nov 2014,"",windows / mac/ linux,"Overwhelmingly Positive / 98% of 109,000",true,"","","","","",https://store.steampowered.com/app/250900/The_Binding_of_Isaac_Rebirth/?snr=1_7_7_230_150_4,https://cdn.akamai.steamstatic.com/steam/apps/250900/capsule_sm_120.jpg?t=1611221171,""
Pummel Party,0,14.99,20 Sep 2018,24013,windows ,"Very Positive / 91% of 19,151",false, Multiplayer / Funny / Online Co-Op / 4 Player Local / Board Game / Casual / Co-op / Local Multiplayer / Indie / Action / Minigames / Local Co-Op / Comedy / Party / Party Game / Tabletop / Colorful / Gore / Controller / Beat 'em up ,Rebuilt Games,Rebuilt Games,Action / Casual / Indie,"",https://store.steampowered.com/app/880940/Pummel_Party/?snr=1_7_7_230_150_4,https://cdn.akamai.steamstatic.com/steam/apps/880940/capsule_sm_120.jpg?t=1585242250, Pummel Party is a 4-8 player online and local-multiplayer party game. Pummel friends or AI using a wide array of absurd items in the board mode and compete to destroy friendships in the unique collection of minigames. 
Fallout 76,0,39.99,14 Apr 2020,"",windows ,"Mostly Positive / 77% of 19,007",true,"","","","","",https://store.steampowered.com/app/1151340/Fallout_76/?snr=1_7_7_230_150_4,https://cdn.akamai.steamstatic.com/steam/apps/1151340/capsule_sm_120.jpg?t=1609880734,""
Horizon Zero Dawn™ Complete Edition,0,49.99,7 Aug 2020,41417,windows ,"Mostly Positive / 78% of 31,927",false, Adventure / Open World / Female Protagonist / Action / RPG / Singleplayer / Story Rich / Post-apocalyptic / Robots / Sci-fi / Exploration / Third Person / Beautiful / Atmospheric / Great Soundtrack / Action RPG / Archery / Hunting / Dinosaurs / Multiplayer ,Guerrilla,"PlayStation Mobile, Inc.",Action / Adventure / RPG,"",https://store.steampowered.com/app/1151640/Horizon_Zero_Dawn_Complete_Edition/?snr=1_7_7_230_150_4,https://cdn.akamai.steamstatic.com/steam/apps/1151640/capsule_sm_120.jpg?t=1605570736, Experience Aloy’s legendary quest to unravel the mysteries of a future Earth ruled by Machines. Use devastating tactical attacks against your prey and explore a majestic open world in this award-winning action RPG! 
World of Tanks Blitz,0,0,9 Nov 2016,65951,windows / mac,"Mostly Positive / 79% of 65,951",false, Tanks / Free to Play / Action / Multiplayer / World War II / Massively Multiplayer / War / Shooter / PvP / Strategy / Military / Online Co-Op / Simulation / Competitive / FPS / Arcade / Singleplayer / Psychological Horror / Open World / First-Person ,Wargaming Group Limited,Wargaming Group Limited,Action / Free to Play / Massively Multiplayer,"",https://store.steampowered.com/app/444200/World_of_Tanks_Blitz/?snr=1_7_7_230_150_4,https://cdn.akamai.steamstatic.com/steam/apps/444200/capsule_sm_120.jpg?t=1611742052, Celebrate Lunar New Year! Get the formidable Ox tank in Operation Lichun and a mountain of resources in Lunar Rising. 
Divinity: Original Sin 2 - Definitive Edition,0,44.99,14 Sep 2017,114018,windows / mac,"Overwhelmingly Positive / 95% of 98,607",false, RPG / Choices Matter / Turn-Based Combat / Open World / Story Rich / Co-op Campaign / Multiplayer / Character Customization / Party-Based RPG / Fantasy / Crafting / CRPG / Isometric / Moddable / PvP / Turn-Based / Strategy / Turn-Based Tactics / Female Protagonist / Co-op ,Larian Studios,Larian Studios,Adventure / RPG / Strategy,93,https://store.steampowered.com/app/435150/Divinity_Original_Sin_2__Definitive_Edition/?snr=1_7_7_230_150_4,https://cdn.akamai.steamstatic.com/steam/apps/435150/capsule_sm_120.jpg?t=1607718127," The critically acclaimed RPG that raised the bar, from the creators of Baldur's Gate 3. Gather your party. Master deep, tactical combat. Venture as a party of up to four - but know that only one of you will have the chance to become a God. "
Garry's Mod,0,9.99,29 Nov 2006,658796,windows / mac/ linux,"Overwhelmingly Positive / 96% of 554,192",false, Sandbox / Multiplayer / Funny / Moddable / Building / Comedy / Co-op / Mod / First-Person / Physics / Simulation / Online Co-Op / FPS / Singleplayer / Action / Shooter / Animation & Modeling / Indie / Adventure / Massively Multiplayer ,Facepunch Studios,Valve,Indie / Simulation,NA,https://store.steampowered.com/app/4000/Garrys_Mod/?snr=1_7_7_230_150_4,https://cdn.akamai.steamstatic.com/steam/apps/4000/capsule_sm_120.jpg?t=1601306982, Garry's Mod is a physics sandbox. There aren't any predefined aims or goals. We give you the tools and leave you to play. 
Resident Evil 7 Biohazard,0,29.99,23 Jan 2017,"",windows ,"Very Positive / 93% of 24,064",true,"","","","","",https://store.steampowered.com/app/418370/Resident_Evil_7_Biohazard/?snr=1_7_7_230_150_4,https://cdn.akamai.steamstatic.com/steam/apps/418370/capsule_sm_120.jpg?t=1610067869,""
Sid Meier's Civilization® VI: Gathering Storm,75%,39.99,13 Feb 2019,2300,windows / mac/ linux,"Mostly Positive / 70% of 1,776",false, Strategy / Turn-Based / Multiplayer / Grand Strategy / Turn-Based Strategy / City Builder / 4X / Historical / Singleplayer ,Firaxis Games / Aspyr (Mac) / Aspyr (Linux),2K / Aspyr (Mac) / Aspyr (Linux),Strategy,80,https://store.steampowered.com/app/947510/Sid_Meiers_Civilization_VI_Gathering_Storm/?snr=1_7_7_230_150_4,https://cdn.akamai.steamstatic.com/steam/apps/947510/capsule_sm_120.jpg?t=1590081740,""
Hearts of Iron IV,0,39.99,6 Jun 2016,117290,windows / mac/ linux,"Very Positive / 91% of 86,492",false, Strategy / World War II / Grand Strategy / Historical / War / Military / Alternate History / Multiplayer / Simulation / Tactical / Real-Time with Pause / RTS / Singleplayer / Diplomacy / Sandbox / Co-op / Great Soundtrack / Open World / Action / Casual ,Paradox Development Studio,Paradox Interactive,Simulation / Strategy,83,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/?snr=1_7_7_230_150_4,https://cdn.akamai.steamstatic.com/steam/apps/394360/capsule_sm_120.jpg?t=1611303499," Victory is at your fingertips! Your ability to lead your nation is your supreme weapon, the strategy game Hearts of Iron IV lets you take command of any nation in World War II; the most engaging conflict in world history. "
7 Days to Die,0,24.99,13 Dec 2013,155443,windows / mac/ linux,"Very Positive / 86% of 108,550",false, Survival / Zombies / Voxel / Open World / Post-apocalyptic / Open World Survival Craft / Multiplayer / FPS / Action / Sandbox / Building / Simulation / Online Co-Op / Exploration / Singleplayer / Survival Horror / RPG / Procedural Generation / Character Customization / Early Access ,The Fun Pimps,The Fun Pimps Entertainment LLC,Action / Adventure / Indie / RPG / Simulation / Strategy / Early Access,"",https://store.steampowered.com/app/251570/7_Days_to_Die/?snr=1_7_7_230_150_4,https://cdn.akamai.steamstatic.com/steam/apps/251570/capsule_sm_120.jpg?t=1608788477," 7 Days to Die is an open-world game that is a unique combination of first person shooter, survival horror, tower defense, and role-playing games. Play the definitive zombie survival sandbox RPG that came first. Navezgane awaits! "
Arma 3,0,29.99,12 Sep 2013,"",windows ,"Very Positive / 90% of 133,392",true,"","","","","",https://store.steampowered.com/app/107410/Arma_3/?snr=1_7_7_230_150_4,https://cdn.akamai.steamstatic.com/steam/apps/107410/capsule_sm_120.jpg?t=1608211055,""
