nombreE,html,nroDeJuegos
Capitalism,4845,298
Kickstarter,5153,312
Otome,31579,337
Colony Sim,220585,359
Time Travel,10679,312
Cold War,5179,239
Collectathon,5652,331
Hex Grid,1717,365
3D Fighter,6506,263
God Game,5300,305
Agriculture,22602,280
Superhero,1671,222
Trains,1616,372
Quick-Time Events,4559,202
GameMaker,1649,305
Underground,21006,236
Word Game,24003,319
Martial Arts,6915,228
Dinosaurs,5160,270
Mystery Dungeon,198631,271
Experience,9994,234
FMV,18594,280
Touch-Friendly,25085,311
Dog,1638,219
Fishing,15564,244
Naval,6910,291
Assassin,4376,203
Dynamic Narration,9592,230
Farming Sim,87918,294
Mod,5348,168
Western,1647,277
Trading Card Game,9271,218
Idler,615955,222
Programming,5432,289
Spectacle fighter,4777,226
Heist,1680,204
Underwater,9157,284
Documentary,15339,127
Minigames,8093,217
Combat Racing,4102,258
Hero Shooter,620519,235
Automation,255534,237
Asynchronous Multiplayer,17770,175
Dungeons & Dragons,14153,261
Immersive,3934,145
Diplomacy,6310,195
Archery,13382,154
Sequel,5230,166
Vampire,4018,199
Political Sim,26921,240
Faith,180368,178
Games Workshop,5310,124
Looter Shooter,353880,173
Solitaire,13070,241
Naval Combat,4994,195
Sokoban,1730,238
Gaming,150626,121
Narrative,7702,166
Party,7108,147
Crowdfunded,7113,165
Time Attack,5390,227
Sailing,13577,153
Silent Protagonist,15954,148
Music-Based Procedural Generation,8253,192
Soccer,1679,158
Party Game,7178,165
Football,7226,143
World War I,5382,132
Snow,9803,125
Transportation,10383,149
Villain Protagonist,11333,172
Foreign,51306,100
Sniper,7423,130
On-Rails Shooter,56690,152
Offroad,7622,158
TrackIR,8075,177
360 Video,776177,127
Typing,1674,171
Gambling,16250,89
Mars,6702,127
Horses,6041,133
Chess,4184,155
Creature Collector,916648,129
Transhumanism,4137,99
Pinball,6621,141
Boxing,12190,102
Werewolves,17015,86
Trivia,10437,139
Auto Battler,1084988,101
LEGO,1736,100
Unforgiving,1733,109
Farming,4520,73
Traditional Roguelike,454187,114
Based On A Novel,3796,87
Nostalgia,14720,75
Warhammer 40K,12286,88
Rome,6948,119
Roguelike Deckbuilder,1091588,123
Motorbike,198913,100
Golf,7038,78
Medical Sim,1100688,93
Ambient,29855,94
Electronic Music,61357,87
Jet,92092,63
Asymmetric VR,856791,63
Bikes,123332,90
Intentionally Awkward Controls,14906,63
Spaceships,4291,53
Cooking,3920,76
Spelling,71389,75
Basketball,1746,59
Outbreak Sim,1100686,64
Submarine,19780,66
Roguevania,922563,68
Steam Machine,348922,15
Benchmark,5407,29
Social Deduction,745697,54
Mini Golf,22955,59
Pool,17927,48
Hardware,603297,24
Instrumental Music,189941,33
Wrestling,47827,42
Baseball,5727,43
Feature Film,233824,16
Tennis,5914,41
Skateboarding,1753,36
Lemmings,17337,47
Voice Control,27758,32
Hockey,324176,31
Electronic,143739,29
Cycling,19568,22
Bowling,7328,21
Motocross,15868,31
Rock Music,337964,23
Well-Written,8461,13
Skating,96359,28
ATV,129761,9
Skiing,7309,22
Action RTS,1723,4
8-bit Music,117648,14
Reboot,5941,16
BMX,252854,14
Snowboarding,28444,11
