Titulo,Precio,Generos,Plataformas,Fecha de Salida,Desarrollador,Publisher,Rating,Valoración del usuario,Imagen,Link
Dragon Star Varnir ,12.32,Action|Adventure|RPG,Windows,"October 8, 2019",Idea Factory / Compile Heart,Idea Factory International,Rates 12+,4.20/5,https://cdn-products.eneba.com/resized-products/EnJxQnS9K7KXSZBT1YTuu7vAkhEuC4NXroe3P4tBIAg_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-dragon-star-varnir-steam-key-global
Pax Nova ,5.01,Indie|Strategy,Windows,"May 9, 2019",Grey Wolf Entertainment,Iceberg Interactive,"",0,https://cdn-products.eneba.com/resized-products/lE_X1WXTpAvPf6mowKzdDzwin8TJPpY14yv-Ayk0cmY_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-pax-nova-steam-key-global
Super Dungeon Bros ,4.96,Action|Indie|Adventure,Windows|Mac,"November 1, 2016",React Games,THQ Nordic,Rates 7+,0,https://cdn-products.eneba.com/resized-products/YOW0pxDbYG-zemyKvt-yYPBHPwfk0zhIyPxip3WvutE_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-super-dungeon-bros-steam-key-global
Arelite Core ,4.64,Indie|Adventure|RPG,Windows,"February 8, 2017",Dragon Slumber,Dragon Slumber,"",0,https://cdn-products.eneba.com/resized-products/qPlKx6z_350x200_1x-0.jpg,https://www.eneba.com/us/steam-arelite-core-steam-key-global
Theme Park ,3.41,Simulation,Windows,"January 2, 2000",Bullfrog Productions,Electronic Arts Inc.,Rates 3+,0,https://cdn-products.eneba.com/resized-products/EStC-Vho38BaDpYd3Jp2Bl_hdpioY98y62ohyYeVvdU_350x200_1x-0.jpeg,https://www.eneba.com/us/gog-theme-park-gog-com-key-global
Rugby Challenge ,17.74,Action|Sport|Simulation,Windows,"October 14, 2011",Wicked Witch Software,Tru Blu Entertainment,"",0,https://cdn-products.eneba.com/resized-products/10OsF01HdnpvSIGkXWSMw3CEd01F1wetURvfQE_EnpY_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-rugby-challenge-steam-key-global
The Infectious Madness of Doctor Dekker ,13.0,Simulation|Indie|Adventure,Windows|Mac|Linux,"May 19, 2017",D’Avekki Studios,D'Avekki Studios Ltd,"",0,https://cdn-products.eneba.com/resized-products/vhJlZLxRSyxaj4ZQ4EaLFZVXzO1jQ77uFtqlia4wlAo_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-the-infectious-madness-of-doctor-dekker-steam-key-global
Sword Legacy: Omen ,6.17,Action|Indie|Adventure|RPG,Windows,"August 13, 2018",Firebase Industries,Team17 Digital Ltd,"",5.00/5,https://cdn-products.eneba.com/resized-products/Z80f83L5Afn8JIqbOohWEbZZjE2HjFynrvwJiQgOOzA_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-sword-legacy-omen-steam-key-global
LA Cops ,3.84,Sport|Indie|Arcade|Strategy,Windows,"February 5, 2015",Roll7,Team17 Digital Ltd,Rates 7+,0,https://cdn-products.eneba.com/resized-products/LDK6nH7O-eECU6JsLl3wvjH4pOF2JWeW_7vbqniu8zI_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-la-cops-steam-key-global
Aven Colony ,10.28,Simulation|Indie,Windows,"July 25, 2017",Team 17 Software,Team17 Digital Ltd,Rates 12+,5.00/5,https://cdn-products.eneba.com/resized-products/ytpqwh64xhkfdto1ajxn_350x200_1x-0.jpg,https://www.eneba.com/us/steam-aven-colony-steam-key-global
Automachef ,6.99,Simulation|Indie,Windows,"July 23, 2019",Hermes Interactive,Team17 Digital Ltd,Rates 3+,5.00/5,https://cdn-products.eneba.com/resized-products/w92fUPl9iL083EpDFXhs_qhYm8c5dz-G8oYVi66AOeY_350x200_1x-0.jpg,https://www.eneba.com/us/steam-automachef
Botanicula ,8.21,Indie|Adventure,Windows|Mac,"May 7, 2012",Amanita Design,Amanita Design,"",0,https://cdn-products.eneba.com/resized-products/bqnOYl4WC3bPE0RODMaOLLIkgstFwD56zARQUhQpxuY_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-botanicula-steam-key-global
Rock of Ages ,6.11,Action|Indie|Racing|Strategy,Windows,"September 7, 2011",ACE Team,SEGA,Rates 12+,0,https://cdn-products.eneba.com/resized-products/tOlfEKCE7auz5QWtmztya3B0fAv1wwGU42sr4NHLCUQ_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-rock-of-ages-steam-key-global
Amnesia Fortnight 2017 ,0.7,Windows|Mac|Linux,"","May 27, 2017","2 Player Productions, Double Fine Productions","","",0,https://cdn-products.eneba.com/resized-products/20MXvG9bdtX8Z7ZkPvv0_wUkkmEvA8uGMFOZjZkbzZM_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-amnesia-fortnight-2017-steam-key-global
HuniePop ,6.84,Simulation|Indie|Puzzle,Windows|Linux,"January 19, 2015",ChunSoft,Spike Chunsoft,"",0,https://cdn-products.eneba.com/resized-products/aombpwhk9sfmqn0wm2qk_350x200_1x-0.jpg,https://www.eneba.com/us/gog-huniepop-gog-com-key-global
Recruits ,1.92,Action|Indie|FPS / TPS,Windows,"August 1, 2014",QUByte Interactive,Commotion Games,"",5.00/5,https://cdn-products.eneba.com/resized-products/Q2nWM8z_350x200_1x-0.jpg,https://www.eneba.com/us/steam-recruits-steam-key-global
CHUCHEL ,4.9,Indie|Adventure,Windows|Mac,"March 7, 2018",Amanita Design,Amanita Design,"",5.00/5,https://cdn-products.eneba.com/resized-products/RvL0M5b5itNNaN1a1SiE_TPXzdJPfhgzqdZa-OkwjAc_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-chuchel-steam-key-global
Shadowrun: Dragonfall - Director's Cut ,3.41,Indie|Strategy|Adventure|RPG,Windows|Mac|Linux,"September 18, 2014",Harebrained Schemes,Harebrained Holdings,"",5.00/5,https://cdn-products.eneba.com/resized-products/aicskqpayen814e71yht_350x200_1x-0.jpg,https://www.eneba.com/us/steam-shadowrun-dragonfall-directors-cut-steam-key-global
Marine Sharpshooter II: Jungle Warfare ,2.0,Action,Windows,"June 4, 2013",Jarhead Games,Fun Box Media,"",5.00/5,https://cdn-products.eneba.com/resized-products/qDY5JSi_350x200_1x-0.jpg,https://www.eneba.com/us/steam-marine-sharpshooter-ii-jungle-warfare-steam-key-global
X3: Reunion ,6.06,Strategy,Windows|Mac|Linux,"November 3, 2005",Egosoft,Egosoft,"",0,https://cdn-products.eneba.com/resized-products/hUECH4vPvvbBR00JcIgpsZq3xfwaYOUGMrOaGxZRntU_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-x3-reunion-steam-key-global
Halo: Nightfall XBOX ,6.71,FPS / TPS,"","November 11, 2014",343 Industries / Scott Free Productions,"","",0,https://cdn-products.eneba.com/resized-products/dwQ2SyoJLd5Jr_on3OI6Dbkz_ZC7wEYrsYVPqNmF4zg_350x200_1x-0.jpeg,https://www.eneba.com/us/xbox-halo-nightfall-xbox-live-key-global
