nombre,descuento,precio,fechaLanzamiento,plataformas,resenia,bloqueoDeEdad,etiquetas,desarrollador,editor,genero,metacritic,herf,imagen,descipcion
Starbound,0,14.99,22 Jul 2016,windows / mac/ linux,"Very Positive / 91% of 71,034",false, Open World Survival Craft / Sandbox / Survival / Adventure / Space / Crafting / Online Co-Op / Relaxing / Multiplayer / Pixel Graphics / Open World / Exploration / Indie / Action / 2D / RPG / Atmospheric / Co-op / Building / Sci-fi ,Chucklefish,Chucklefish,Action / Adventure / Casual / Indie / RPG,81,https://store.steampowered.com/app/211820/Starbound/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/211820/capsule_sm_120.jpg?t=1611668796," You’ve fled your home, only to find yourself lost in space with a damaged ship. Your only option is to beam down to the planet below, repair your ship and set off to explore the universe... "
Left 4 Dead 2,0,9.99,16 Nov 2009,windows / mac/ linux,"Overwhelmingly Positive / 97% of 310,926",false, Zombies / Co-op / FPS / Multiplayer / Shooter / Action / Online Co-Op / Survival / Horror / First-Person / Gore / Team-Based / Moddable / Survival Horror / Post-apocalyptic / Singleplayer / Adventure / Local Co-Op / Replay Value / Tactical ,Valve,Valve,Action,89,https://store.steampowered.com/app/550/Left_4_Dead_2/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/550/capsule_sm_120.jpg?t=1601578341," Set in the zombie apocalypse, Left 4 Dead 2 (L4D2) is the highly anticipated sequel to the award-winning Left 4 Dead, the #1 co-op game of 2008. This co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savannah to New Orleans across five expansive campaigns. "
Total War: THREE KINGDOMS,0,59.99,23 May 2019,windows / mac/ linux,"Very Positive / 84% of 43,854",false, Strategy / Historical / War / Turn-Based Strategy / Grand Strategy / RTS / Military / Tactical / Multiplayer / Singleplayer / Real Time Tactics / Action / Great Soundtrack / Turn-Based / Co-op / Simulation / Violent / Sandbox / Fantasy / Destruction ,CREATIVE ASSEMBLY / Feral Interactive (Mac) / Feral Interactive (Linux),SEGA / Feral Interactive (Mac) / Feral Interactive (Linux),Action / Strategy,85,https://store.steampowered.com/app/779340/Total_War_THREE_KINGDOMS/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/779340/capsule_sm_120.jpg?t=1611322992," Total War: THREE KINGDOMS is the first in the award-winning series to recreate epic conflict across ancient China. Combining a gripping turn-based campaign of empire-building & conquest with stunning real-time battles, THREE KINGDOMS redefines the series in an age of heroes & legends. "
Yakuza 4 Remastered,0,19.99,28 Jan 2021,windows ,Positive / 95% of 22,true,"","","","","",https://store.steampowered.com/app/1105500/Yakuza_4_Remastered/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/1105500/capsule_sm_120.jpg?t=1611853625,""
嗜血印 Bloody Spell,50%,19.99,15 Jan 2019,windows ,"Very Positive / 84% of 11,109",false, Sexual Content / Nudity / Female Protagonist / Action / RPG / Mature / Martial Arts / Hack and Slash / Violent / Action Roguelike / Gore / Early Access / Singleplayer / Action RPG / Indie / Roguelike / 3D / Shooter / FPS / 3D Vision ,艺龙游戏,艺龙游戏,Action / Adventure / Indie / RPG / Early Access,"",https://store.steampowered.com/app/992300/_Bloody_Spell/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/992300/capsule_sm_120.jpg?t=1611499695," This is a martial arts action role-playing game. The core of the game is battle-oriented, and it combines many fighting elements. If you are a player who pursues blood and is brave enough to challenge the limits, it will definitely inspire your adrenaline and bring you the best combat experience. "
Subnautica,0,29.99,23 Jan 2018,windows / mac,"Overwhelmingly Positive / 95% of 140,383",false, Open World Survival Craft / Survival / Open World / Exploration / Underwater / Crafting / Base Building / Singleplayer / Horror / Adventure / First-Person / Sci-fi / Sandbox / Aliens / Atmospheric / Action / Survival Horror / Early Access / Indie / Multiplayer ,Unknown Worlds Entertainment,Unknown Worlds Entertainment,Adventure / Indie,87,https://store.steampowered.com/app/264710/Subnautica/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/264710/capsule_sm_120.jpg?t=1609982984," Descend into the depths of an alien underwater world filled with wonder and peril. Craft equipment, pilot submarines and out-smart wildlife to explore lush coral reefs, volcanoes, cave systems, and more - all while trying to survive. "
OMORI,0,19.99,25 Dec 2020,windows / mac,"Overwhelmingly Positive / 98% of 4,868",false, Psychological Horror / Indie / Story Rich / Pixel Graphics / Hand-drawn / RPGMaker / Horror / RPG / Multiple Endings / Turn-Based / Colorful / 2D / Anime / Party-Based RPG / Atmospheric / Exploration / JRPG / Fantasy / Stylized / Cats ,"OMOCAT, LLC","OMOCAT, LLC / PLAYISM",Adventure / Indie / RPG,"",https://store.steampowered.com/app/1150690/OMORI/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/1150690/capsule_sm_120.jpg?t=1609260441," Explore a strange world full of colorful friends and foes. When the time comes, the path you’ve chosen will determine your fate... and perhaps the fate of others as well. "
Sekiro™: Shadows Die Twice - GOTY Edition,0,59.99,21 Mar 2019,windows ,"Very Positive / 94% of 82,833",true,"","","","","",https://store.steampowered.com/app/814380/Sekiro_Shadows_Die_Twice__GOTY_Edition/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/814380/capsule_sm_120.jpg?t=1603904569,""
STAR WARS™ Battlefront™ II,0,39.99,11 Jun 2020,windows ,"Very Positive / 89% of 15,092",false, Multiplayer / FPS / Shooter / Third-Person Shooter / Singleplayer / Action / Space / Co-op / Vehicular Combat / Sci-fi / Combat / Adventure / Online Co-Op / Third Person / First-Person / PvP / Aliens / Tactical / Character Customization / Controller ,DICE,Electronic Arts,Action / Adventure,"",https://store.steampowered.com/app/1237950/STAR_WARS_Battlefront_II/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/1237950/capsule_sm_120.jpg?t=1608417290, Be the hero in the ultimate STAR WARS™ battle fantasy with STAR WARS™ Battlefront™ II: Celebration Edition! 
Warhammer: Vermintide 2,0,29.99,8 Mar 2018,windows ,"Very Positive / 80% of 46,848",false, Co-op / First-Person / Hack and Slash / Online Co-Op / Multiplayer / Gore / Dark Fantasy / Action / Violent / Fantasy / PvE / Games Workshop / Atmospheric / FPS / Action RPG / Singleplayer / Survival / Indie / Adventure / Open World ,Fatshark,Fatshark,Action / Indie,82,https://store.steampowered.com/app/552500/Warhammer_Vermintide_2/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/552500/capsule_sm_120.jpg?t=1605801170, The critically acclaimed Vermintide 2 is a visually stunning and groundbreaking melee action game pushing the boundaries of the first person co-op genre. Join the fight now! 
Elite Dangerous,0,29.99,2 Apr 2015,windows ,"Mostly Positive / 76% of 49,983",false, Space Sim / Space / Open World / Exploration / Sci-fi / Simulation / Massively Multiplayer / Multiplayer / First-Person / Action / Adventure / Sandbox / VR / Online Co-Op / Trading / Singleplayer / RPG / Strategy / Difficult / TrackIR ,Frontier Developments,Frontier Developments,Action / Adventure / Massively Multiplayer / RPG / Simulation / Strategy,80,https://store.steampowered.com/app/359320/Elite_Dangerous/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/359320/capsule_sm_120.jpg?t=1603796492, Take control of your own starship in a cutthroat galaxy. Elite Dangerous is the definitive massively multiplayer space epic. 
STAR WARS™: Squadrons,0,39.99,1 Oct 2020,windows ,"Mostly Positive / 74% of 16,717",false, Flight / Space / Multiplayer / VR / Sci-fi / Action / Singleplayer / Simulation / First-Person / PvP / Online Co-Op / Spaceships / Co-op / Shooter / Controller / Space Sim / Female Protagonist / Open World / Strategy / Adventure ,MOTIVE,Electronic Arts,Action / Simulation,79,https://store.steampowered.com/app/1222730/STAR_WARS_Squadrons/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/1222730/capsule_sm_120.jpg?t=1611259327," Master the art of starfighter combat in the authentic piloting experience STAR WARS™: Squadrons. Feel the adrenaline of first-person multiplayer space dogfights alongside your squadron, and buckle up in a thrilling STAR WARS™ story. "
DARK SOULS™ III,0,59.99,11 Apr 2016,windows ,"Very Positive / 93% of 155,381",true,"","","","","",https://store.steampowered.com/app/374320/DARK_SOULS_III/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/374320/capsule_sm_120.jpg?t=1608544497,""
Pavlov VR,0,24.99,27 Feb 2017,windows ,"Very Positive / 94% of 18,342",false, Early Access / VR / Action / Shooter / Multiplayer / FPS / Indie / Violent / Military / Gore / First-Person / Funny / Singleplayer / Memes / Competitive / Zombies / PvP / Team-Based / Co-op / Simulation ,Vankrupt Games,Vankrupt Games,Action / Indie / Early Access,"",https://store.steampowered.com/app/555160/Pavlov_VR/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/555160/capsule_sm_120.jpg?t=1608725963, Pavlov vr is a multiplayer shooter in VR with heavy focus on community features. Realistic reloading features and fast paced combat as part of the core experience. Play the #1 most popular VR shooter on PC today. 
Brawlhalla,0,0,17 Oct 2017,windows / mac,"Very Positive / 84% of 199,237",false, Free to Play / Multiplayer / Fighting / 2D Fighter / 2D / Action / Local Multiplayer / Platformer / Co-op / Controller / Online Co-Op / Local Co-Op / 4 Player Local / Beat 'em up / Indie / Singleplayer / Massively Multiplayer / Early Access / Survival / Adventure ,Blue Mammoth Games,Ubisoft,Action / Free to Play / Indie,"",https://store.steampowered.com/app/291550/Brawlhalla/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/291550/capsule_sm_120.jpg?t=1611172116," An epic platform fighter for up to 8 players online or locally. Try casual free-for-alls, ranked matches, or invite friends to a private room. And it's free! Play cross-platform with millions of players on PS4, Xbox One, Nintendo Switch, iOS, Android and Steam! Frequent updates. Over fifty Legends. "
